t_env,check_count,update_count,groups_updated,num_moved,num_groups,group_sizes,current_groups,silhouette_score,n_clusters_chosen,latency_ms,rejection_reason,stability_threshold,group_diversity_so_far
5014,1,1,True,3,1,[3],"[[0, 1, 2]]",0.62844825,3,28.088,first_init,0.6,1
10023,2,2,True,3,3,"[1, 1, 1]","[[0], [2], [1]]",0.5468726,3,40.231,updated,0.6,2
15031,3,3,True,2,2,"[2, 1]","[[1, 2], [0]]",0.696735,3,26.387,updated,0.6,3
20053,4,4,True,2,3,"[1, 1, 1]","[[1], [2], [0]]",0.52820355,3,28.34,updated,0.6,3
25060,5,5,True,2,2,"[2, 1]","[[1, 2], [0]]",0.52532,3,31.666,updated,0.6,3
30080,6,5,False,0,2,"[1, 2]","[[0], [1, 2]]",0.5778878,3,26.551,same_group,0.6,3
35080,7,6,True,3,2,"[2, 1]","[[0, 2], [1]]",0.72506964,3,25.835,updated,0.6,4
40083,8,7,True,2,3,"[1, 1, 1]","[[0], [1], [2]]",0.70062935,3,25.558,updated,0.6,4
45093,9,7,False,0,3,"[1, 1, 1]","[[1], [0], [2]]",0.75571334,3,25.946,same_group,0.6,4
50094,10,8,True,2,2,"[2, 1]","[[0, 1], [2]]",0.6020067,3,25.543,updated,0.6,5
55094,11,8,False,0,2,"[2, 1]","[[0, 1], [2]]",0.7365221,3,25.927,same_group,0.6,5
60105,12,9,True,2,3,"[1, 1, 1]","[[1], [2], [0]]",0.75632215,3,25.908,updated,0.6,5
65117,13,10,True,2,2,"[2, 1]","[[0, 1], [2]]",0.7535516,3,33.223,updated,0.6,5
70133,14,11,True,2,3,"[1, 1, 1]","[[2], [0], [1]]",0.5831827,3,27.828,updated,0.6,5
75142,15,12,True,2,2,"[1, 2]","[[0], [1, 2]]",0.6158555,2,25.427,updated,0.6,5
80170,16,13,True,3,2,"[2, 1]","[[0, 2], [1]]",0.7575889,3,27.008,updated,0.6,5
85171,17,13,False,0,2,"[1, 2]","[[1], [0, 2]]",0.5760156,3,25.601,same_group,0.6,5
90189,18,14,True,3,1,[3],"[[0, 1, 2]]",0.45701712,3,26.727,updated,0.6,5
95192,19,15,True,3,2,"[2, 1]","[[0, 1], [2]]",0.7641654,3,25.197,updated,0.6,5
23.89,updated,0.6,4
