t_env,check_count,update_count,groups_updated,num_moved,num_groups,group_sizes,current_groups,silhouette_score,n_clusters_chosen,latency_ms,rejection_reason,stability_threshold,group_diversity_so_far
5013,1,1,True,5,2,"[4, 1]","[[0, 1, 2, 3], [4]]",0.21469897,3,33.181,first_init,0.6,1
10013,2,2,True,5,2,"[2, 3]","[[0, 2], [1, 3, 4]]",0.20224622,3,30.58,updated,0.6,2
15023,3,3,True,5,3,"[3, 1, 1]","[[0, 1, 4], [3], [2]]",0.2430979,3,39.459,updated,0.6,3
20024,4,4,True,5,2,"[3, 2]","[[0, 1, 2], [3, 4]]",0.2318278,2,33.761,updated,0.6,4
25035,5,5,True,5,2,"[2, 3]","[[0, 2], [1, 3, 4]]",0.24878052,3,37.579,updated,0.6,4
30040,6,5,False,0,2,"[3, 2]","[[1, 3, 4], [0, 2]]",0.21440914,2,32.193,same_group,0.6,4
35054,7,6,True,5,2,"[3, 2]","[[1, 2, 3], [0, 4]]",0.24139804,2,31.997,updated,0.6,5
40059,8,7,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.22930482,2,32.964,updated,0.6,6
45078,9,8,True,5,2,"[2, 3]","[[0, 1], [2, 3, 4]]",0.11856288,3,35.171,updated,0.6,7
50094,10,9,True,5,3,"[2, 1, 2]","[[1, 3], [4], [0, 2]]",0.23480716,3,32.852,updated,0.6,8
55112,11,10,True,5,2,"[1, 4]","[[1], [0, 2, 3, 4]]",0.23197015,2,32.718,updated,0.6,9
60124,12,11,True,5,2,"[3, 2]","[[2, 3, 4], [0, 1]]",0.26992854,3,56.401,updated,0.6,9
65144,13,12,True,5,2,"[4, 1]","[[1, 2, 3, 4], [0]]",0.23881254,2,40.151,updated,0.6,10
70162,14,13,True,5,3,"[2, 2, 1]","[[3, 4], [0, 2], [1]]",0.16447395,3,34.01,updated,0.6,11
75188,15,14,True,3,2,"[2, 3]","[[3, 4], [0, 1, 2]]",0.22219577,2,35.169,updated,0.6,11
80202,16,15,True,5,2,"[3, 2]","[[1, 3, 4], [0, 2]]",0.20269108,2,55.6,updated,0.6,11
85229,17,16,True,5,2,"[3, 2]","[[0, 1, 4], [2, 3]]",0.22364926,2,34.363,updated,0.6,12
90297,18,17,True,5,2,"[3, 2]","[[0, 2, 3], [1, 4]]",0.24483699,2,31.617,updated,0.6,13
95331,19,18,True,5,2,"[3, 2]","[[0, 1, 2], [3, 4]]",0.23646137,2,32.595,updated,0.6,13
100356,20,19,True,5,2,"[3, 2]","[[0, 1, 3], [2, 4]]",0.2272822,3,36.52,updated,0.6,14
105396,21,20,True,5,2,"[3, 2]","[[1, 2, 4], [0, 3]]",0.23963062,2,34.417,updated,0.6,15
110418,22,21,True,5,2,"[2, 3]","[[1, 2], [0, 3, 4]]",0.20571265,2,30.674,updated,0.6,16
115458,23,22,True,5,2,"[4, 1]","[[0, 2, 3, 4], [1]]",0.20952098,3,33.871,updated,0.6,16
120476,24,23,True,5,2,"[2, 3]","[[0, 2], [1, 3, 4]]",0.2245896,2,31.981,updated,0.6,16
125497,25,24,True,5,3,"[1, 1, 3]","[[4], [2], [0, 1, 3]]",0.2487677,3,31.238,updated,0.6,17
130510,26,25,True,4,3,"[1, 1, 3]","[[3], [2], [0, 1, 4]]",0.22130796,3,29.671,updated,0.6,17
135511,27,26,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.16150053,3,34.989,updated,0.6,17
140575,28,27,True,5,2,"[3, 2]","[[0, 2, 4], [1, 3]]",0.20399457,2,38.908,updated,0.6,18
145589,29,28,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.19096333,2,32.357,updated,0.6,18
150613,30,29,True,5,2,"[1, 4]","[[4], [0, 1, 2, 3]]",0.1930114,2,31.775,updated,0.6,18
155653,31,30,True,5,2,"[3, 2]","[[0, 2, 4], [1, 3]]",0.20076188,2,32.943,updated,0.6,18
160687,32,31,True,5,2,"[2, 3]","[[2, 3], [0, 1, 4]]",0.18222901,2,32.423,updated,0.6,18
165742,33,32,True,5,3,"[1, 2, 2]","[[2], [0, 3], [1, 4]]",0.21590823,3,30.488,updated,0.6,19
170777,34,32,False,0,3,"[1, 2, 2]","[[2], [0, 3], [1, 4]]",0.2293118,3,38.037,same_group,0.6,19
175784,35,33,True,5,2,"[1, 4]","[[4], [0, 1, 2, 3]]",0.19103669,2,32.895,updated,0.6,19
180848,36,34,True,5,2,"[2, 3]","[[1, 4], [0, 2, 3]]",0.16546816,3,32.439,updated,0.6,19
185854,37,35,True,5,2,"[2, 3]","[[1, 3], [0, 2, 4]]",0.19337487,2,31.975,updated,0.6,19
190918,38,36,True,5,2,"[1, 4]","[[3], [0, 1, 2, 4]]",0.20757219,2,33.444,updated,0.6,20
195949,39,36,False,0,2,"[1, 4]","[[3], [0, 1, 2, 4]]",0.19613832,2,32.155,same_group,0.6,20
200963,40,37,True,5,2,"[3, 2]","[[0, 3, 4], [1, 2]]",0.1813537,2,31.716,updated,0.6,20
206000,41,38,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.18559004,2,32.888,updated,0.6,20
211038,42,39,True,5,2,"[3, 2]","[[0, 2, 3], [1, 4]]",0.205306,3,35.046,updated,0.6,20
216100,43,40,True,5,3,"[1, 3, 1]","[[3], [0, 2, 4], [1]]",0.20858455,3,31.756,updated,0.6,21
221104,44,41,True,5,2,"[2, 3]","[[1, 4], [0, 2, 3]]",0.18915153,2,34.705,updated,0.6,21
226153,45,42,True,5,2,"[2, 3]","[[1, 2], [0, 3, 4]]",0.19054383,3,32.304,updated,0.6,21
231186,46,43,True,5,2,"[1, 4]","[[2], [0, 1, 3, 4]]",0.19599271,2,31.587,updated,0.6,22
236255,47,44,True,5,3,"[1, 2, 2]","[[1], [2, 3], [0, 4]]",0.13515264,3,34.186,updated,0.6,23
241304,48,45,True,5,2,"[1, 4]","[[0], [1, 2, 3, 4]]",0.17643654,2,33.516,updated,0.6,23
246314,49,46,True,5,3,"[1, 3, 1]","[[1], [0, 2, 3], [4]]",0.20734909,3,34.257,updated,0.6,24
251371,50,47,True,5,3,"[2, 2, 1]","[[0, 4], [1, 3], [2]]",0.20071164,3,33.375,updated,0.6,25
256403,51,48,True,4,3,"[2, 1, 2]","[[0, 1], [2], [3, 4]]",0.20438848,3,111.722,updated,0.6,26
261442,52,49,True,5,2,"[3, 2]","[[1, 3, 4], [0, 2]]",0.18460377,3,33.273,updated,0.6,26
266446,53,50,True,5,3,"[3, 1, 1]","[[1, 2, 3], [4], [0]]",0.210197,3,33.396,updated,0.6,27
271488,54,50,False,2,3,"[3, 1, 1]","[[1, 2, 3], [4], [0]]",0.19558547,3,31.178,below_threshold,0.6,27
276517,55,51,True,4,2,"[1, 4]","[[4], [0, 1, 2, 3]]",0.21484575,3,54.715,updated,0.6,27
281521,56,52,True,5,2,"[4, 1]","[[0, 2, 3, 4], [1]]",0.17570221,2,31.93,updated,0.6,27
286540,57,53,True,5,2,"[3, 2]","[[2, 3, 4], [0, 1]]",0.21862754,3,32.436,updated,0.6,272291560,58,54,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.18082145,2,30.915,updated,0.6,272296605,59,55,True,5,2,"[2, 3]","[[2, 4], [0, 1, 3]]",0.21452785,3,33.976,updated,0.6,273301659,60,56,True,5,2,"[2, 3]","[[1, 3], [0, 2, 4]]",0.17634603,3,32.833,updated,0.6,273306671,61,57,True,5,3,"[2, 1, 2]","[[0, 3], [2], [1, 4]]",0.17116758,3,33.114,updated,0.6,273311719,62,58,True,5,2,"[3, 2]","[[0, 2, 4], [1, 3]]",0.23120996,2,31.9,updated,0.6,27
316756,63,59,True,5,2,"[1, 4]","[[0], [1, 2, 3, 4]]",0.2082293,3,87.465,updated,0.6,27
321757,64,60,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.17648408,2,46.546,updated,0.6,27
326758,65,61,True,5,3,"[1, 3, 1]","[[0], [1, 2, 4], [3]]",0.21999148,3,36.582,updated,0.6,28
331812,66,62,True,5,2,"[1, 4]","[[2], [0, 1, 3, 4]]",0.17771119,2,31.558,updated,0.6,28
336840,67,63,True,4,3,"[3, 1, 1]","[[0, 1, 4], [3], [2]]",0.18316975,3,42.897,updated,0.6,28
341891,68,64,True,5,2,"[4, 1]","[[1, 2, 3, 4], [0]]",0.14976972,3,32.849,updated,0.6,28
346958,69,65,True,5,2,"[2, 3]","[[0, 1], [2, 3, 4]]",0.18771328,2,33.849,updated,0.6,28
351995,70,66,True,5,1,[5],"[[0, 1, 2, 3, 4]]",0.13309935,2,33.758,updated,0.6,28
357007,71,67,True,5,2,"[4, 1]","[[0, 1, 3, 4], [2]]",0.1858438,2,32.885,updated,0.6,28
362074,72,68,True,5,3,"[1, 3, 1]","[[4], [1, 2, 3], [0]]",0.19566213,3,36.667,updated,0.6,28
367131,73,69,True,5,3,"[1, 3, 1]","[[3], [0, 1, 4], [2]]",0.19769827,3,34.395,updated,0.6,28
372166,74,70,True,5,2,"[4, 1]","[[0, 2, 3, 4], [1]]",0.18661398,3,32.661,updated,0.6,28
377216,75,71,True,5,2,"[4, 1]","[[0, 1, 2, 3], [4]]",0.19445574,2,32.521,updated,0.6,28
382230,76,72,True,5,2,"[2, 3]","[[0, 3], [1, 2, 4]]",0.17850249,2,39.041,updated,0.6,28
387279,77,73,True,5,3,"[1, 1, 3]","[[0], [2], [1, 3, 4]]",0.20653045,3,33.165,updated,0.6,29
392311,78,74,True,5,2,"[1, 4]","[[4], [0, 1, 2, 3]]",0.17351843,2,32.827,updated,0.6,29
397354,79,75,True,4,3,"[2, 1, 2]","[[0, 2], [4], [1, 3]]",0.20472637,3,32.569,updated,0.6,29
402364,80,76,True,4,3,"[3, 1, 1]","[[0, 1, 3], [2], [4]]",0.19031754,3,31.151,updated,0.6,29
407399,81,77,True,4,2,"[1, 4]","[[4], [0, 1, 2, 3]]",0.18386164,2,32.21,updated,0.6,29
412420,82,78,True,5,2,"[2, 3]","[[2, 3], [0, 1, 4]]",0.18619573,2,32.62,updated,0.6,29
417426,83,79,True,3,3,"[2, 1, 2]","[[2, 3], [0], [1, 4]]",0.18998015,3,31.729,updated,0.6,30
422442,84,80,True,5,2,"[3, 2]","[[0, 2, 4], [1, 3]]",0.17721489,3,33.068,updated,0.6,30
427456,85,81,True,5,2,"[3, 2]","[[0, 3, 4], [1, 2]]",0.19659343,3,31.871,updated,0.6,30
432506,86,82,True,5,3,"[1, 2, 2]","[[4], [1, 3], [0, 2]]",0.22116639,3,37.722,updated,0.6,30
437518,87,83,True,5,3,"[1, 2, 2]","[[3], [2, 4], [0, 1]]",0.20139872,3,67.626,updated,0.6,31
442524,88,84,True,3,2,"[3, 2]","[[2, 3, 4], [0, 1]]",0.19758022,3,33.793,updated,0.6,31
447552,89,85,True,5,2,"[3, 2]","[[1, 3, 4], [0, 2]]",0.17595841,2,31.757,updated,0.6,31
452594,90,86,True,5,2,"[4, 1]","[[0, 1, 2, 4], [3]]",0.2055523,3,30.499,updated,0.6,31
457597,91,87,True,5,2,"[1, 4]","[[2], [0, 1, 3, 4]]",0.21614724,3,32.346,updated,0.6,31
462646,92,88,True,5,2,"[2, 3]","[[1, 3], [0, 2, 4]]",0.19690526,2,32.88,updated,0.6,31
467695,93,89,True,5,2,"[3, 2]","[[1, 2, 3], [0, 4]]",0.17214614,2,31.371,updated,0.6,31
